Idea reference,Idea name,Idea categories,Idea assigned to,Idea status,Idea created date,Idea votes,Idea tags,Idea description,Created by email domain,Idea portal comments,Idea voter email domains
DFE-I-248,"When scanning medications in the MAR, the system should alert to allergies and drug interactions.",Medication Management,Brent Runkle,Product Owner Review,2022-08-21 17:53:05,18,,"During medication scanning, Evident Thrive UX does not alert to any drug interactions or contraindications due to allergies. It would be nice if the system would automatically alert us to this instead of having to manually look.",cozadhealthcare.com,"mjamison@louisacomm.net Nov 9, 2022
Along this line, need to make MAJOR interactions highlighted in the clinical monitoring screen in the MAR.

Teddy Busby Mar 16, 2023
Or even adding a color to the MAR that would alert to overrides for contraindications due to allergies.

Lori Luciano Dec 15, 2023
Would also be great if you got a duplicate therapy warning also. I think nursing should get the same messages that pharmacy and providers get when order the med but they have over ridden. Let the nurses know before they give the medication.

KAREN ST BLANC Dec 15, 2023
How did you process the order if it is an allergy or drug interactions? In the MAR app, check the Clinical Monitoring in the task bar and it will have all of the alerts.","prmc.org,caldwellmedical.com,rch-lyons.com,erlanger.org,wnmh.org,osshealth.com,cozadhealthcare.com,lgh-jena.org,franklinfoundation.org,ahmchealth.com,gh-health.org,pcmhosp.com,yahoo.com,kingmanhc.com,masondistricthospital.org,hillsborohospital.com"
DFE-I-316,Pharmacy verification hard stop needed on nurse-entered orders,Order Management,Brent Runkle,Shipped,2022-10-03 15:59:32,12,,There is not a hard stop for nursing not to administer orders if the nurse enters them. This system needs to have a hard stop if orders aren't verified by pharmacy. Without this we are not in compliance with Nebraska statute 38.2867.02. This is also necessary to prevent errors and is a patient safety issue.,westholtmed.org,"KAREN ST BLANC Oct 24, 2022
Can't this be set in ChartLink control table pg. 1 where you set all orders to pharmacy first. The orders would not even go to the MAR until verified by pharmacy. Please correct me if I am wrong. see attached.

KAREN ST BLANC Oct 24, 2022
Sorry-this would effect CPOE as well.

Brent Runkle May 31, 2023
The ability for nurse entered medication orders to require pharmacy verification is now available in 21.04","tsjh.org,cozadhealthcare.com,emanuelmedical.org,bhsh.com,cvhealth.net,westholtmed.org,fcmh.biz,nrmchealth.com"
DFE-I-349,Add all tests on the lab label ,Ancillary,Brent Runkle,In Development,2022-10-25 12:10:49,5,,"It would be nice to add all the tests to the lab label for the same specimen type instead of CMP *. It would be nice to know that * means instead of having to go back to the computer and looking for the test. In Centriq it states CMP, Lipid, CRP or CBCd, HgbA1C",westholtmed.org,,"putnamgeneral.com,evident.com,lgh-jena.org,westholtmed.org"
DFE-I-377,Batch Verify for Pharmacist,"Medication Management,Order Management",Brent Runkle,Product Owner Review,2022-11-10 16:14:02,15,,"When the pharmacist verifies a normal medication it takes about 5+ clicks to get through the process. For example, the provider orders CIWA protocol, which has 10 meds, that is 50 clicks to just verify that run through for PRN possibilities. Requesting batch verify per patient, this would allow the pharmacist to review the meds, then batch verify the items all at once, labels print, then they can move onward to the next patient. They are spending far too long sitting at the computer, clicking through PRN/Protocol orders.",madriverhospital.com,,"prmc.org,caldwellmedical.com,hbch.org,raycountyhospital.com,tsjh.org,parkplacesurgery.com,jackhosp.org,emanuelmedical.org,fcmh.biz,pcmhosp.com,yahoo.com,madriverhospital.com,cmhcare.com"
DFE-I-388,Automatic fax confirmation image that imports into clinical history for Comm. center faxing. ,Communication Center,Brent Runkle,Future Development,2022-11-22 20:47:22,27,,Our clinic nursing staff wants a feature that will automatically log a fax confirmation into the patient's clinical history area. Nursing often has patients or other clinics that dispute if the information was actually faxed. The current fax log does not let you easily see a breakdown by a patient identifier. If the confirmation went to clinical history they could easily look it up by patient name or account.,bayoubendhealth.org,"Lori Luciano Mar 7, 2024
We currently make the Communication Center fax a pdf and scan it into the account for proof. We would love for it to be an automated option or a click button feature when need. The Fax pdf is missing if it was successful or not and that should be part of the record along with the history (Date time attempts) This function is needed for Faxing and email and texting.

Cassi Loutzenhiser Jun 6, 2024
This is a must have according to our HIM director because there are constantly insurance companies, etc, calling and stating they never got something and they need this proof that they faxed something on a specific date/time.

krizel.kok@ahmchealth.com Jul 9, 2024
Yes! Would greatly appreciate this feature.","surgeonschoice.com,ahmchealth.com,prmc.org,fcmh.biz,pch-health.com,rch-lyons.com,fallonmedical.org,dosher.org,yahoo.com,bhsh.com,lindsaymunicipalhospital.com,pmhnet.com,eomchospital.com,edcomed.com,gcdmc.org,lgh-jena.org,bayoubendhealth.org,nchnet.org,franklinfoundation.org"
DFE-I-493,THE FIELDS FOR ADDING TITRATION PROTOCOLS NEED TO ALLOW MORE SPACE,Medication Management,Brent Runkle,Product Owner Review,2023-02-02 23:12:38,27,,"Setting up advanced titration protocols for some medications requires much more space than current fields allow. It makes it difficult to provide all of the needed information. There needs to be more room to include things such as Dosing and Indications, warnings about things like incompatible fluids and room to include things to monitor. Frankly, it would be more user friendly if there's one large area for free text (large enough to possibly just copy and paste a facilities current paper based protocols), along with the current fields for Route, Initial Rate, unit of measure and Max Dose. The current drop down for units of measure in the Initial Rate field is missing mg/kg and mcg/kg. An additional comment line after the drop down on the same line would be useful for entering text such as ""over __ minutes""",artesiageneral.com,,"prmc.org,caldwellmedical.com,hillsdalehospital.com,pcmhosp.com,raycountyhospital.com,tsjh.org,emhcare.net,grmf.org,att.net,bhsh.com,woodlawnhospital.com,lapazhospital.org,rayhealthcare.org,sckrmc.org,sphosp.org,artesiageneral.com,asimgt.com,gmail.com,bayoubendhealth.org,ecmh.org,westholtmed.org,franklinfoundation.org"
DFE-I-533,Sending prescriptions electronically prior to Discharge Med Rec,Medication Management,Brent Runkle,Product Owner Review,2023-02-27 14:12:25,24,,This would be helpful when more than one provider is responsible for the patient's care. Surgeon and PCP. The patient may be ready to discharge per the surgeon but the PCP has not made rounds. The surgeon is unable to send any prescriptions for the patient until the discharge med rec is completed - which may be later in the day.,sckrmc.org,"Abbey Eskridge  Mar 2, 2023
I have a surgeon that requested functionality within MedRec that would allow them to essentially click a button that states PCP to complete DC MedRec but allow him to send his needed scripts that way the PCP doesn't have to address the controlled post op meds but can address the rest of the home meds.","caldwellmedical.com,fcmh.biz,chal.org,cameronregional.org,yahoo.com,sweetwaterhospital.org,woodlawnhospital.com,putnamgeneral.com,prowersmedical.com,rayhealthcare.org,eomchospital.com,sckrmc.org,monroesurgical.com,rvmc.org,commonspirit.org,gmail.com,lgh-jena.org,mclaren.org,nchnet.org,cmhcare.com,ecmh.org,westholtmed.org,ahmchealth.com"
DFE-I-567,Ability to require Indication of Use required for all PRN frequencies,"Medication Management,Order Management",Brent Runkle,Shipped,2023-03-15 17:25:15,12,,"Since a prn indication of use is required for all orders that have a prn frequency, we need the ability to set indication required for meds with all of those frequencies. We could still set the possible indications on the medication itself, but only require it if it has a prn frequency. Setting it on the medication would require it every time it is ordered, which is required some meds like antibiotics, but not all. For other meds, we only need to required the indication if it is ordered prn.",pcgh.org,,"prmc.org,caldwellmedical.com,rch-lyons.com,westholtmed.org,gibsonhospital.org,pcmhosp.com,pcgh.org,yahoo.com,grmf.org,lapazhospital.org,rayhealthcare.org,wcmhosp.org"
DFE-I-613,Access to MAR from Pharmacy Medication Orders Verification screen,"Medication Management,Order Management",Brent Runkle,Product Owner Review,2023-03-28 18:00:08,6,,"Would like to be able to quickly see what time a medication was given when verifying orders without having to open Charts, open the patient's chart, and then open the MAR. This would help with assigning an appropriate start time to a medication if that medication (or a similar medication) has previously been administered.",prmc.org,"Heather Delusa Nov 1, 2023
Additional idea: Display the time last administered (if previously administered) on medication orders on pharmacy verification screen to aid with the timing of new medication orders.

Roger Morris Mar 7, 2024
This would be very helpful! Currently you have to back out of the order, then check the MAR, and then go back and verify the order.","prmc.org,caldwellmedical.com,gh-health.org,pcmhosp.com,yahoo.com,cvhealth.net"
DFE-I-712,REQUIRE PRN REASON,Medication Management,Brent Runkle,Shipped,2023-05-04 16:17:50,51,,All regulatory bodies require that prn medication orders have parameters and or indications. There needs to be a field and process to allow this so that an order that is PRN can not be placed or verified without an indication/reason.,rayhealthcare.org,"Kelly Van Zandt May 8, 2023
This is so needed. We are constantly reminding our physicians to add a PRN reason.

D Ratke May 16, 2023
A PRN order without an indication is an ambiguity in the order and could be a critical point for error. Please place this functionality on your priority list.

Brent Runkle Oct 3, 2023
This is now available in 21.05","prmc.org,caldwellmedical.com,rch-lyons.com,tsjh.org,rpmh.net,dosher.org,allenhealth.net,bunkiegeneral.com,wahiawageneral.org,cozadhealthcare.com,pchosp.org,iberiamedicalcenter.com,lgh-jena.org,grapehospital.com,westholtmed.org,cranememorial.org,gibsonhospital.org,pcmhosp.com,pcgh.org,cahny.org,yahoo.com,grmf.org,foresthealth.com,dalemedical.org,prowersmedical.com,mckenziehealth.org,nrmchealth.com,lapazhospital.org,rayhealthcare.org,mchcare.com,kingmanhc.com,kchc.net,monroesurgical.com,hrrmc.net,wcmhosp.org,masondistricthospital.org,bsfmedical.com,ecmh.org,bmh.org"
DFE-I-713,PRN Reason in Order Sets,"Medication Management,Order Management",Brent Runkle,In Development,2023-05-04 16:18:58,44,,"There is no option to add in a PRN reason to a medication prebuilt in an order set. This is required by all regulatory bodies and if not present, creates rework, confusion and compliance issues. We need a field added to the medication screen in the order set build tool to indicate a prn reason",rayhealthcare.org,"LISA NARRON Dec 7, 2023
definitely need this ability","prmc.org,caldwellmedical.com,pomerenehospital.org,midcoasthealthsystem.org,gcmc.org,rch-lyons.com,dosher.org,jackhosp.org,cozadhealthcare.com,bhsh.com,ajmchc.org,iberiamedicalcenter.com,hss-mi.org,lgh-jena.org,westholtmed.org,surgeonschoice.com,ahmchealth.com,hhlincolnhealth.org,gvhospital.org,trigghospital.org,chmed.org,att.net,prowersmedical.com,mckenziehealth.org,nrmchealth.com,madriverhospital.com,rayhealthcare.org,desotoregional.com,artesiageneral.com,monroesurgical.com,rvmc.org,decaturhealth.org,nchnet.org,gordonmemorial.org,hillrh.com"
DFE-I-714,Pharmacy Verification Flow,Medication Management,Brent Runkle,Already Exists,2023-05-04 16:20:34,4,,"Currently if a nurse places an order, the system does not respect the table and set up for how orders need to flow to pharmacy during pharmacy hours. This table needs to be set up so that regardless of who places the order, the order must go to pharmacy first for processing before a nurse can document against it; based upon the hours set up in teh table.",rayhealthcare.org,"Brent Runkle Jun 19, 2023
This is now available in the 21.04 release.","caldwellmedical.com,lifecare-health.com,rayhealthcare.org"
DFE-I-753,Communication Center - Faxing - allow fax assigned to pt to be routed for signature,Communication Center,Brent Runkle,Product Owner Review,2023-05-18 13:52:37,25,,"We love Communication Center Faxing. We love that we can take an incoming fax and attach it to a patient and to a specific visit. Now we need to have the ability to take the attached fax and assign it to a user for review or signature purposes. We want to be able to route all incoming faxes away from our clinics to the HIM department who would review the document, assign it to the patient record and then assign it to the provider to sign so it goes to their home screen folder as an alert. We would also like to be able to assign this same report to an employee, such as the providers nurse, so they can be aware the document such as a consult returned and close referral loops etc. This allows us to get away from having piles of paper sitting in the doctor's office waiting to be placed in the patient record to having the information come in, be put in the record and routed to the provider/staff for review and/or signature through home screen alerts.",spartahospital.com,"Laura Colbert Feb 15, 2024
Not having this functionality is a hard stop for our clinic. Our clinic currently gets all faxes electronically through Updox, which interfaces with their EMR. If our clinic would change to Thrive (like we want to), then they would have to go back to printing every single fax and batch scanning it to send it to a provider for signature. So our clinic will not change to Thrive until this is a function.

Laura Colbert Mar 12, 2024
03/12/2024 Faxage update: We had 6 lines in place. Today we cancelled 4 of those, as they were not being used. Users were opting to use the electronic faxing we have OUTSIDE of Thrive to do their faxing as it was more user friendly and more reliable. We wil cancel line 5 as soon as we know we are not receiving on that number. Line 6 will stay for now, as it is the only option in one of our satellite clinics.

Tara Elliott Aug 17, 2024
1. Would also be nice to have the ability to return the signed document back to the sender as some documents such as therapy evaluations, progress updates, DME orders, etc.
2. Would also like the functionality to be able to edit a document within fax to allow for additional texting.","fairfaxmed.com,rch-lyons.com,cozadhealthcare.com,bhsh.com,woodlawnhospital.com,pmhnet.com,bayoubendhealth.org,americanam.org,cranememorial.org,surgeonschoice.com,ahmchealth.com,mcphersonhospital.org,pchsgrant.com,yahoo.com,nrhd.org,prowersmedical.com,bkhcs.org,lindsaymunicipalhospital.com,okmh.org,kingmanhc.com,kchc.net,evident.com,spartahospital.com"
DFE-I-756,Live Notification/Alert needed for Communication Center,Communication Center,Brent Runkle,More Information Needed,2023-05-19 17:32:34,3,,"We want to rollout the Communication Center to our registration and EWS/OR Scheduling department. Because neither of these departments have any actions in the TWC, they will be logging into the TWC but then moving to System Menu to complete all their actions, therefore NOT seeing any notifications that new faxes were received through the Communication Center unless the click back into the TWC. So it is not part of their workflow, won't be convenient, and faxes will be missed. Could there be a pop-up or could the web browser window at the computer's bottom tool bar blink when new messages or faxes are received? Also, the amount/number of Faxes, Texts, and Messages could be broken down and displayed on the left side navigation pane from the home screen.",surgeonschoice.com,"Candace Wilson Dec 15, 2023
Hi Tracie, We offer Web Client system menu access for several applications, have you tried accessing EWS/Scheduling from the Web Client System Menu as opposed to launching Thrive UX. It would provide your users with access to the bell icon. Thanks.

Tracie Bastien Dec 16, 2023
TWC does not work entirely for registration and medical records. 2 of the departments that would use communication center the most. The Electronic File Management application does not function properly in TWC, I can't have them use TWC system menu for some functions and TUX system menu for other functions, that is asking for mistakes to happen. Either ALL departments of a hospital have to be fully on TWC to safely use Communication Center, OR there needs to be an alert available when TWC screen is not what your working in, similar to when your in an online store, and you have asked a question to the live online chat, while waiting for an answer from the rep, you can navigate around your other applications, leaving the chat open in the background. When the rep replies to you, you would hear an alert, or the Chrome window button on the bottom task bar would flash, etc.Evident's Communication Center needs an alert to notify users that have TWC running in the background (for instance when they just use it to log in and navigate to TUX System menu) that there is a new fax, text, mail message.

Tracie Bastien May 8, 2024
We need the alert for those departments that are not yet able to be in TWC fully. Our departments will not work out of both, and also, most users do not have TWC up as the main screen unless they are documenting due to HIPAA. So a blinking alert like the Chrome icon on the status bar blinking and perhaps an audible alert when a new message or fax comes in would alleviate all of this.","rch-lyons.com,surgeonschoice.com,yahoo.com"
DFE-I-757,We would like the ability to have medications verified by pharmacy prior to being sent to the MAR in EDIS.,"Medication Management,Order Management",Brent Runkle,Product Owner Review,2023-05-22 19:58:48,15,TIS,Due to patient safety we think it is important you give the facility the option to turn on or turn off the ability for medications to be verified by pharmacy staff prior to dropping to the MAR in the EDIS module. We believe not having the option to have medications verified by pharmacy increases error and risk by our nursing staff.,mocohd.org,,"jackhosp.org,commonspirit.org,lgh-jena.org,mocohd.org,yahoo.com,foresthealth.com,evident.com"
DFE-I-806,Communication Center-permission to delete fax,Communication Center,Brent Runkle,Product Owner Review,2023-06-14 16:37:44,4,,"The ability to delete a fax from the communication center should be permission based. I would like to see more granular permissions on the communication center in general, it should not allow all the users who have access to delete a message/fax, forward, print, or scan. Each of those permissions should be user/role specific. But most importantly, the ability to delete. If a whole group of people are working off the faxed document and someone deletes it that shouldn't, that will cause some difficulty in retrieving it. Also the ability for it to go to an ""archive"" or ""trash"" and be stored for 30 days before permanent deletion from the CPSI communication center would be good too.",surgeonschoice.com,,"tcmh.org,rch-lyons.com,trubridge.com,surgeonschoice.com"
DFE-I-864,Apply charges on the date and time documented.,Medication Management,Brent Runkle,Product Owner Review,2023-07-18 13:43:31,12,,If a medication is charted after midnight as given before midnight it charges on the after midnight date. The Billing Manager then has to go back and manually delete and reapply the charge to the correct date. The system should automatically do this. I also suspect ED room charges and provider charges do the same thing and should be able to be back-timed to the correct date and billed to that corrected date automatically.,girardmedicalcenter.com,,"caldwellmedical.com,lgh-jena.org,cranememorial.org,fallonmedical.org,yahoo.com,nrmchealth.com,hrrmc.net,girardmedicalcenter.com,cmhcare.com"
DFE-I-1019,Allow Future Orders from multiple providers to be released on same day,"Ancillary,Order Management",Brent Runkle,Product Owner Review,2023-09-06 13:58:56,25,,"When a patient comes in to have a procedure done (Xray) and the tech sees that there are also future order for another procedure (US) ordered by a different provider, they need to be able to release both the Xray and US future orders so that the patient can have both done on same day. This increases patient satisfaction as they don't have to make a 2nd trip to have the 2nd procedure. The orders, whether they are from the same provider or not can be done on the same encounter. The billing department is happy because the encounter has the procedures and the ordering provider.",slhd.org,"Cheryl Hinman Sep 6, 2023
Having a patient have multiple encounters in order to do labs that are entered under future orders for one provider and radiology under another provider is not optimal. Most insurance companies will only allow 1 encounter billed per day, whether there are multiple procedures under multiple providers. But the process of merging becomes problematic with PACS systems as well. If the encounter that it the accounts are merged into isn't the one the radiology PACs used then the signed authenticated reports are not on that encounter.

This would be solved if when entering any lab order in order entry there was the ability to make it recurring and not a future order. Future orders need to be able to be released without regard as to who ordered the test of any kind on any given day.

Jennifer Baumgartner Dec 5, 2023
This process also causes our HIM dept to transfer charges between encounters adding additional time consuming work to an already busy department. We currently use RCM for billing so we do not have the extra manpower in our facility for this extra workflow. With our previous EMR, we set up rules in the system that would combine claims for us on the backend automatically and no one had to touch them. We had one encounter per Sub Type per day regardless of the number of providers or if multiple encounters were created it combined them all automatically on the billing side.

This also worked with RHC ancillary charges. We had rules that we would set up that if the system created a separate encounter (851 claim) for any labs, radiology, or EKG done in the clinic and there was another OP encounter for the same day (851 claim) for labs that are collected at our clinics and sent to the lab for additional testing, it would combine these encounters for us and be ready for coding. There is a daily list for us to go through because both of these situations happen frequently.

Sorry this kind of takes this idea in a whole another direction but has the same final patient and facility satisfaction outcome.","prmc.org,caldwellmedical.com,rpmh.net,cozadhealthcare.com,lgh-jena.org,dchbenkelman.com,olneyhh.com,slhd.org,fallonmedical.org,mcphersonhospital.org,pchsgrant.com,yahoo.com,bkhcs.org,mckenziehealth.org,kingmanhc.com,evident.com,monroesurgical.com,masondistricthospital.org,decaturhealth.org,gordonmemorial.org,cmhcare.com,arbucklehospital.com"
DFE-I-1023,Barcode Scanning in Pharmacy,"Medication Management,Thrive Web Client",Brent Runkle,More Information Needed,2023-09-08 17:50:15,6,,We would like to see a process/capability within the pharmacy application in Thrive Web Client for pharmacy staff to be able to scan medication barcodes prior to dispensing medications and while restocking in the pharmacy. This would be an extra patient safety measure in addition to nurses scanning medications.,dalemedical.org,"Brent Runkle May 14, 2024
So if you have this new place to scan a medication barcode,

* What happens after the scan?
* What needs to be displayed?
* What actions would the user want to take next?

Mamie Baker May 14, 2024
Currently our pharmacy staff stocks routine medications in a medication cart. The idea that was brought up would be the pharmacy staff would scan the medication prior to putting it in the patient's drawer to ensure that they are putting the correct medication in there. Also, this would ensure the medication is inventoried properly when the pharmacy stocks their shelves. Ideally this would be on the pharmacy end of things rather than nursing side.","caldwellmedical.com,slhd.org,medinamemorial.org,dalemedical.org,desotoregional.com,lgh-jena.org"
